feature,gain,fold
mfcc_delta_17_p90,0.0076891034841537476,3
mfcc_8_std,0.007675808388739824,3
mfcc_17_mean,0.007539388723671436,3
mfcc_18_p10,0.0074581606313586235,3
mfcc_0_std,0.00744417542591691,3
rms_p90,0.0072743711061775684,3
contrast_0_mean,0.007258210331201553,3
mfcc_7_std,0.007156980223953724,3
mfcc_10_p90,0.006813270039856434,3
mfcc_3_p90,0.006810382939875126,3
mfcc_1_std,0.0067819030955433846,3
flatness_p10,0.006463511846959591,3
rms_std,0.006289541721343994,3
mfcc_15_mean,0.006286493502557278,3
spectral_entropy_mean,0.0060367039404809475,3
spectral_entropy_std,0.006002664100378752,3
mfcc_delta_17_std,0.005856003612279892,3
dominant_frequency_ratio,0.005698658060282469,3
mfcc_13_p90,0.005665397271513939,3
spectral_entropy_p10,0.005470739211887121,3
mfcc_4_mean,0.0053954822942614555,3
contrast_4_std,0.005342208314687014,3
rolloff85_p90,0.0052333432249724865,3
contrast_5_p10,0.00521763414144516,3
mfcc_9_p10,0.005131099373102188,3
mfcc_1_p10,0.005054949317127466,3
mfcc_17_p90,0.0050099678337574005,3
mfcc_delta_7_p90,0.004993758164346218,3
rolloff85_mean,0.004974291194230318,3
mfcc_delta_0_std,0.004952746443450451,3
centroid_std,0.004923701286315918,3
mfcc_delta_12_std,0.0048026167787611485,3
mfcc_5_mean,0.004771417938172817,3
mfcc_delta_11_std,0.0046279109083116055,3
mfcc_6_mean,0.004612188320606947,3
mfcc_delta_6_std,0.004603169392794371,3
mfcc_13_mean,0.004547037649899721,3
mfcc_8_p90,0.004531639628112316,3
mfcc_delta_17_p10,0.0045163328759372234,3
mfcc_19_p90,0.004514300264418125,3
mfcc_3_p10,0.0044732773676514626,3
mfcc_13_p10,0.004378714133054018,3
mfcc_16_p90,0.004362717270851135,3
contrast_1_mean,0.0042958385311067104,3
mfcc_delta_18_std,0.004262557718902826,3
contrast_3_mean,0.07389811426401138,4
mfcc_2_p90,0.060785889625549316,4
contrast_3_p10,0.053208235651254654,4
mfcc_2_mean,0.02664666436612606,4
bandwidth_p90,0.02320849895477295,4
rms_p10,0.016429951414465904,4
mfcc_0_std,0.01330727618187666,4
contrast_5_mean,0.01252763718366623,4
bandwidth_mean,0.012038590386509895,4
dominant_frequency_ratio,0.010975619778037071,4
mfcc_4_p10,0.0101584168151021,4
flatness_std,0.010063188150525093,4
mfcc_1_mean,0.00964010413736105,4
mfcc_3_p10,0.009289715439081192,4
rms_mean,0.008828332647681236,4
mfcc_1_p10,0.008777107112109661,4
mfcc_0_mean,0.00846147071570158,4
rolloff85_mean,0.008428182452917099,4
mfcc_17_mean,0.00811273604631424,4
mfcc_delta_7_p90,0.007342296186834574,4
rms_p90,0.007172327488660812,4
spectral_entropy_mean,0.006864774506539106,4
mfcc_7_std,0.006851864513009787,4
mfcc_delta_15_p10,0.006803646218031645,4
mfcc_8_std,0.006591217126697302,4
mfcc_19_p90,0.006562438327819109,4
mfcc_3_mean,0.006528887897729874,4
spectral_entropy_p90,0.006497155409306288,4
mfcc_delta_3_p90,0.006493913941085339,4
mfcc_delta_17_p90,0.006471887230873108,4
contrast_1_mean,0.00643725274130702,4
mfcc_18_p10,0.006374376360327005,4
mfcc_delta_15_std,0.0062287189066410065,4
spectral_entropy_p10,0.0061070541851222515,4
mfcc_3_p90,0.006008195225149393,4
centroid_p10,0.005972313228994608,4
mfcc_1_p90,0.0058458903804421425,4
mfcc_12_mean,0.005572384223341942,4
mfcc_delta_17_std,0.005473429802805185,4
mfcc_6_p10,0.00541654834523797,4
mfcc_0_p90,0.005296752788126469,4
zero_crossing_rate_std,0.005293555557727814,4
contrast_2_mean,0.005239126272499561,4
mfcc_delta_18_p90,0.005180795211344957,4
mfcc_4_p90,0.005166549235582352,4
mfcc_delta_17_p10,0.0049878922291100025,4
mfcc_delta_3_std,0.004966478329151869,4
rolloff85_p90,0.0049255178309977055,4
mfcc_15_mean,0.004854409955441952,4
mfcc_delta_9_std,0.004816524684429169,4
mfcc_delta_16_std,0.00479608029127121,4
contrast_5_std,0.004754707217216492,4
centroid_p90,0.00464177830144763,4
rolloff85_p10,0.004604868125170469,4
mfcc_10_std,0.004550580866634846,4
contrast_0_p10,0.004412160720676184,4
mfcc_5_p10,0.004376258701086044,4
mfcc_15_p90,0.00433710403740406,4
mfcc_17_std,0.004246358294039965,4
mfcc_10_p10,0.004145184997469187,4
