feature,gain,fold
dominant_frequency_ratio,0.011424580588936806,3
centroid_p10,0.011286675930023193,3
flatness_p10,0.011038416065275669,3
bandwidth_p10,0.010818875394761562,3
mfcc_6_p10,0.009871359914541245,3
mfcc_14_std,0.009221111424267292,3
mfcc_18_p10,0.009164733812212944,3
bandwidth_mean,0.009017311036586761,3
mfcc_5_p90,0.00862969271838665,3
mfcc_3_mean,0.008579260669648647,3
mfcc_2_p10,0.008402882143855095,3
mfcc_4_mean,0.008332840166985989,3
mfcc_delta_0_std,0.008308331482112408,3
mfcc_4_p90,0.008019707165658474,3
mfcc_16_p10,0.007860535755753517,3
mfcc_6_std,0.007527279667556286,3
contrast_0_mean,0.007513599004596472,3
bandwidth_p90,0.007412465289235115,3
mfcc_11_p90,0.00730124581605196,3
zero_crossing_rate_mean,0.006720521952956915,3
mfcc_12_p90,0.006335407495498657,3
flatness_p90,0.0063106282614171505,3
mfcc_5_p10,0.006226657424122095,3
spectral_entropy_p90,0.006190162617713213,3
mfcc_delta_4_p10,0.005985801108181477,3
contrast_5_p10,0.005955325439572334,3
mfcc_6_mean,0.005939955823123455,3
mfcc_1_p90,0.005610971711575985,3
rolloff85_p90,0.005522080231457949,3
flatness_std,0.005461567081511021,3
mfcc_2_mean,0.005417791195213795,3
mfcc_4_p10,0.005325076635926962,3
rms_std,0.005324770696461201,3
zero_crossing_rate_std,0.005315450951457024,3
mfcc_3_p90,0.005253986455500126,3
zero_crossing_rate_p90,0.005116025917232037,3
mfcc_2_p90,0.005100543145090342,3
mfcc_14_p90,0.005094797816127539,3
centroid_std,0.005090076941996813,3
mfcc_0_std,0.005059142131358385,3
centroid_p90,0.004917798563838005,3
contrast_5_mean,0.004909636452794075,3
mfcc_5_mean,0.004904002882540226,3
centroid_mean,0.004896973725408316,3
mfcc_delta_9_std,0.004754860885441303,3
mfcc_18_p90,0.004653522744774818,3
mfcc_delta_3_p10,0.0046079931780695915,3
mfcc_delta_2_p10,0.004570693243294954,3
mfcc_17_p10,0.004550505429506302,3
contrast_1_p10,0.0045444052666425705,3
mfcc_delta_3_std,0.004527224227786064,3
rms_p90,0.16265633702278137,4
rms_mean,0.08445705473423004,4
contrast_0_p90,0.05170357599854469,4
mfcc_5_p10,0.027617253363132477,4
contrast_0_mean,0.025297557935118675,4
dominant_frequency,0.01865643821656704,4
rms_p10,0.016908105462789536,4
contrast_0_p10,0.016837043687701225,4
mfcc_delta_3_std,0.012618442066013813,4
mfcc_12_p90,0.01204181369394064,4
spectral_entropy_std,0.011647338047623634,4
flatness_p90,0.010653886944055557,4
mfcc_5_std,0.009160710498690605,4
contrast_4_p10,0.008748526684939861,4
centroid_std,0.008611783385276794,4
centroid_p90,0.007550573907792568,4
mfcc_delta_13_std,0.007027562242001295,4
centroid_p10,0.0067138876765966415,4
mfcc_15_mean,0.006448876112699509,4
mfcc_10_mean,0.0063321953639388084,4
mfcc_10_p90,0.006162482313811779,4
mfcc_4_p90,0.006120448000729084,4
mfcc_13_p10,0.006105914246290922,4
mfcc_3_p90,0.006082314066588879,4
rolloff85_mean,0.0059685977175831795,4
mfcc_16_mean,0.005789251532405615,4
mfcc_11_p90,0.0055613950826227665,4
mfcc_5_mean,0.005550412926822901,4
centroid_mean,0.005536108277738094,4
mfcc_delta_6_std,0.005511574912816286,4
flatness_mean,0.005464476067572832,4
mfcc_1_p10,0.005316235590726137,4
mfcc_2_p10,0.005207879468798637,4
bandwidth_mean,0.005202954635024071,4
zero_crossing_rate_p90,0.005156798288226128,4
mfcc_4_mean,0.005156610626727343,4
bandwidth_p10,0.0051385448314249516,4
mfcc_16_p90,0.004950451664626598,4
mfcc_delta_6_p10,0.004887120332568884,4
mfcc_1_mean,0.004877820145338774,4
spectral_entropy_p90,0.00483696348965168,4
mfcc_3_p10,0.004804246127605438,4
mfcc_delta_1_p10,0.004738801158964634,4
mfcc_15_p10,0.0046420651488006115,4
mfcc_3_mean,0.004579711239784956,4
rolloff85_p90,0.004483997821807861,4
mfcc_19_p90,0.004447595216333866,4
mfcc_14_std,0.004395531956106424,4
mfcc_delta_3_p10,0.0043191746808588505,4
mfcc_12_mean,0.004216560162603855,4
mfcc_19_mean,0.004134983289986849,4
spectral_entropy_p10,0.004096499178558588,4
mfcc_6_std,0.004080713726580143,4
dominant_frequency_ratio,0.004043670371174812,4
spectral_entropy_mean,0.004022877663373947,4
mfcc_2_p90,0.003857595380395651,4
mfcc_9_p10,0.0038160451222211123,4
mfcc_19_std,0.0037964906077831984,4
mfcc_delta_2_std,0.003750248346477747,4
mfcc_2_mean,0.0037115076556801796,4
